node1,node2,distance,waypoints
0,21,581.31,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847235,24.824319;102.847079,24.824084;102.846862,24.823893;102.846862,24.823893;102.846593,24.823767;102.846589,24.823763;102.84635,24.824023;102.845851,24.824397;102.845851,24.824397;102.845451,24.824696;102.845187,24.824957;102.844844,24.825434;102.844844,24.825434;102.844722,24.825686;102.844718,24.825686;102.844544,24.825629;102.844544,24.825629;102.843524,24.825256;102.843524,24.825256;102.842187,24.824805;102.842183,24.8248;102.842148,24.824935;102.842144,24.824935;102.842057,24.824896;102.842057,24.824896;102.841988,24.824844;102.841984,24.824839"
0,22,297.14,"102.849089,24.825321;102.849388,24.825317;102.849666,24.825334;102.849666,24.825334;102.849839,24.825399;102.850456,24.825686;102.850456,24.825686;102.850768,24.825833;102.850768,24.825833;102.851003,24.825972"
0,23,282.82,"102.848763,24.825382;102.848438,24.825477;102.848398,24.825503;102.848398,24.825503;102.848316,24.82556;102.847977,24.825829;102.847786,24.826037;102.847648,24.826276;102.847504,24.826675"
0,24,329.4,"102.849089,24.825321;102.849388,24.825317;102.849666,24.825334;102.849666,24.825334;102.849839,24.825399;102.850456,24.825686;102.850456,24.825686;102.850768,24.825833;102.850768,24.825833;102.851003,24.825972;102.851441,24.826354;102.851723,24.826536;102.852066,24.826636;102.852066,24.826636;102.852956,24.82681;102.852956,24.82681;102.853225,24.826858;102.853225,24.826858;102.853247,24.827018;102.853247,24.827018;102.85332,24.827465;102.85332,24.827465;102.853251,24.827444;102.852422,24.827352;102.851788,24.827235;102.851003,24.826997"
0,25,223.83,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847231,24.824314;102.847188,24.82434;102.847062,24.824631;102.846953,24.824813;102.846949,24.824813;102.846975,24.824831;102.846997,24.824874;102.846997,24.824926"
0,26,628.92,"102.848763,24.825382;102.848438,24.825477;102.848398,24.825503;102.848398,24.825503;102.848316,24.82556;102.847977,24.825829;102.847786,24.826037;102.847648,24.826276;102.847504,24.826675;102.847148,24.827865;102.847148,24.827865;102.847057,24.828177;102.847057,24.828177;102.847031,24.828268;102.84701,24.828481;102.847005,24.828481;102.846723,24.828542;102.846502,24.828611;102.846428,24.828655;102.84628,24.828767;102.846146,24.828928;102.846141,24.828928;102.845734,24.828659;102.845547,24.828568;102.845547,24.828568;102.845464,24.828533;102.845464,24.828533;102.844792,24.828359;102.844792,24.828359;102.844405,24.828268;102.844405,24.828268;102.843524,24.82809;102.84352,24.828086;102.843563,24.827891;102.843563,24.827891"
0,27,541.79,"102.847986,24.824661;102.848003,24.824865;102.847982,24.8249;102.847799,24.825035;102.847795,24.825035;102.847422,24.824566;102.847422,24.824566;102.847235,24.824319;102.847235,24.824319;102.847079,24.824084;102.846862,24.823893;102.846862,24.823893;102.846593,24.823767;102.846589,24.823763;102.84635,24.824023;102.845851,24.824397;102.845851,24.824397;102.845451,24.824696;102.845187,24.824957;102.844844,24.825434;102.844844,24.825434;102.844722,24.825686;102.844718,24.825686;102.844544,24.825629;102.844544,24.825629"
0,28,407.87,"102.849631,24.824405;102.849635,24.824336;102.849683,24.824162;102.849844,24.823902;102.849844,24.823898;102.850191,24.824045;102.850191,24.824045;102.850573,24.824284;102.850573,24.824284;102.850794,24.824015;102.850794,24.824015;102.850981,24.82378;102.850981,24.823776;102.851254,24.823967;102.851254,24.823967;102.851549,24.823615;102.851549,24.823611;102.85197,24.823945;102.85197,24.823945;102.852135,24.824089;102.852135,24.824089;102.852257,24.824197;102.852565,24.824366;102.852565,24.824366;102.852639,24.824405;102.852639,24.82441;102.85283,24.824045;102.852869,24.823997"
1,2,1452.88,"102.845521,24.831059;102.845634,24.831176;102.845773,24.831354;102.845929,24.831606;102.846089,24.831801;102.846089,24.831801;102.84622,24.831949;102.846337,24.832044;102.846645,24.832231;102.846749,24.83227;102.846749,24.83227;102.847322,24.832478;102.847322,24.832478;102.847795,24.832613;102.847795,24.832613;102.847726,24.832826;102.847726,24.832826;102.8476,24.833181;102.8476,24.833181;102.847526,24.833437;102.847522,24.833437;102.847995,24.833398;102.847995,24.833398;102.848264,24.833381;102.848264,24.833381;102.848776,24.833307;102.849436,24.833186;102.849436,24.833186;102.85,24.833051;102.85,24.833051;102.850321,24.832956;102.850321,24.832956;102.850391,24.832934;102.850391,24.832934;102.854002,24.831693;102.854358,24.831571;102.854358,24.831571;102.85451,24.831519;102.85451,24.831519;102.854705,24.83145;102.855213,24.831306;102.855521,24.831246;102.855825,24.831198;102.856293,24.831163;102.856693,24.831159;102.857049,24.831176;102.857365,24.83122;102.857956,24.831341;102.857956,24.831341;102.858238,24.831424;102.858503,24.831523;102.858841,24.831675;102.859158,24.831836;102.859158,24.831836;102.859362,24.831645;102.859362,24.831645"
1,3,1245.33,"102.844271,24.830252;102.844271,24.830252;102.844154,24.830139;102.844149,24.830135;102.844219,24.830009;102.844266,24.829883;102.844414,24.829236;102.844414,24.829236;102.844427,24.829102;102.844444,24.828863;102.844436,24.828568;102.844436,24.828568;102.844405,24.828268;102.844405,24.828268;102.844319,24.827799;102.844293,24.827465;102.844293,24.827305;102.844293,24.827305;102.844297,24.827131;102.844297,24.827131;102.844323,24.826706;102.844323,24.826706;102.844358,24.826567;102.844358,24.826567;102.844544,24.826037;102.844605,24.825924;102.844605,24.825924;102.844718,24.82569;102.844718,24.82569;102.844839,24.825438;102.844839,24.825438;102.845182,24.824961;102.845447,24.824701;102.845846,24.824401;102.845846,24.824401;102.846345,24.824028;102.846589,24.823767;102.846589,24.823767;102.847135,24.823151;102.847135,24.823151;102.847305,24.822973;102.84753,24.822778;102.84753,24.822773;102.847365,24.822517;102.847322,24.822396;102.847322,24.822118;102.847383,24.821823;102.847365,24.821628;102.847274,24.821445;102.847253,24.821428;102.847248,24.821419;102.847418,24.821289;102.8475,24.821185;102.847522,24.821024;102.847522,24.82102;102.847587,24.820764;102.847587,24.820764;102.847613,24.82072;102.847635,24.820365;102.847635,24.82036"
